Item_Identifier,Outlet_Identifier,results
FDN52,OUT049,955.9058
FDM58,OUT045,1975.5096
FDZ46,OUT027,2370.5134
NCA18,OUT018,1210.9497
FDD35,OUT046,1995.1447
NCK31,OUT035,571.7911
FDI40,OUT027,3187.3242
FDT50,OUT019,243.30339
NCT06,OUT046,3224.4468
FDT31,OUT035,2883.4817
FDT45,OUT049,859.86707
FDT13,OUT045,3474.5315
FDO50,OUT045,1533.5111
NCU18,OUT010,446.41312
NCR54,OUT049,3278.5432
NCO18,OUT018,2686.3901
FDU09,OUT045,1147.7731
FDT13,OUT018,2221.2402
FDE09,OUT046,1130.8921
NCK53,OUT019,290.26614
FDG45,OUT049,3653.8872
DRH15,OUT035,659.82086
FDO21,OUT019,516.12244
FDD14,OUT027,4664.701
FDC09,OUT046,1294.7322
FDH45,OUT027,872.4001
FDV32,OUT046,1314.9402
FDG12,OUT035,1720.6023
FDS32,OUT013,1917.6642
NCL55,OUT018,4164.2896
DRE01,OUT035,4169.2563
DRE15,OUT049,1321.2043
NCL42,OUT045,4588.954
FDP31,OUT013,770.732
FDN33,OUT018,1527.3439
FDZ59,OUT046,2985.7239
FDE45,OUT010,347.46848
FDJ07,OUT013,1236.1924
FDQ45,OUT018,2503.9153
FDM33,OUT027,4343.5303
FDO15,OUT010,219.94907
FDM46,OUT013,1769.9722
FDR03,OUT045,3080.9521
FDY49,OUT018,2150.4116
FDQ60,OUT045,1739.1125
FDW10,OUT049,3932.2776
FDO51,OUT049,672.751
FDJ40,OUT018,1401.5585
FDS20,OUT018,3554.4878
FDU45,OUT013,2389.4414
FDV02,OUT035,3055.821
FDN09,OUT046,3740.7393
NCM55,OUT027,4870.5757
FDN23,OUT018,2076.422
FDY31,OUT010,410.24155
FDW03,OUT010,266.19812
FDD14,OUT046,2402.194
FDV23,OUT017,1849.2009
DRI03,OUT045,2419.2021
FDN13,OUT035,1330.3596
FDF45,OUT027,1750.729
FDU46,OUT035,1731.2886
FDB57,OUT049,3494.8281
FDV12,OUT049,2036.3772
FDQ58,OUT013,2023.1979
NCA18,OUT017,1200.9374
FDH52,OUT049,1028.7987
FDM24,OUT018,2265.5442
NCP43,OUT027,3554.8914
NCO18,OUT019,380.46512
FDM32,OUT017,1020.7659
NCL07,OUT017,623.755
FDK03,OUT013,4604.0264
FDP59,OUT017,1274.2524
FDQ24,OUT049,4722.2876
FDQ16,OUT018,1270.3976
FDU44,OUT013,2976.523
FDH28,OUT010,111.184425
FDV28,OUT019,68.4343
FDM22,OUT045,961.9715
FDR56,OUT046,2814.8787
FDV39,OUT049,2810.7698
FDU37,OUT019,404.93735
FDQ11,OUT010,277.12296
FDX02,OUT045,4841.171
NCS42,OUT018,1201.9674
FDY57,OUT027,2635.2163
FDB21,OUT049,4103.5015
FDE28,OUT017,3407.3967
FDQ55,OUT017,2696.7964
FDA48,OUT049,3190.999
FDZ19,OUT045,2484.036
NCC43,OUT045,3011.6072
NCV18,OUT046,1598.2833
NCA42,OUT018,3993.0503
FDY45,OUT046,3246.1025
NCC30,OUT045,2779.9316
FDM57,OUT013,1274.4105
FDL09,OUT010,358.17926
FDB09,OUT027,3464.4998
FDT44,OUT035,1770.8326
NCT06,OUT027,4640.192
FDX26,OUT049,2854.3074
FDK32,OUT013,3223.692
DRA12,OUT046,2167.9714
FDO46,OUT010,429.09634
FDE52,OUT013,1163.05
NCH42,OUT045,4988.868
FDV08,OUT035,651.0227
FDB47,OUT018,2749.358
FDC28,OUT010,435.98972
FDD22,OUT046,2235.1707
FDS07,OUT027,4383.1025
DRI13,OUT045,2922.5134
FDG32,OUT018,3012.196
FDU14,OUT017,4602.6475
FDD28,OUT019,170.4379
NCP41,OUT017,1241.2336
FDS08,OUT049,1650.8491
FDX47,OUT045,1834.8358
FDC53,OUT019,316.45862
FDQ19,OUT035,3009.0076
FDL14,OUT045,2523.8682
FDM33,OUT019,806.41266
FDA51,OUT045,3089.6057
FDZ27,OUT018,551.93555
FDT04,OUT046,507.3353
DRC13,OUT049,1918.7133
FDR16,OUT027,4620.64
FDQ03,OUT027,6967.6353
FDE38,OUT035,2891.0464
DRH23,OUT027,1962.8323
FDT11,OUT019,1117.2529
FDD09,OUT035,3385.9124
FDR40,OUT045,1481.7484
FDX07,OUT017,2795.1633
FDR07,OUT035,1464.9476
FDA51,OUT017,2607.0024
FDT59,OUT019,979.22955
FDF20,OUT017,3336.519
FDR13,OUT045,2218.7715
FDY26,OUT049,5840.326
FDW04,OUT017,2261.1191
FDK52,OUT017,4851.859
FDN60,OUT049,3088.9973
FDM09,OUT019,517.5405
FDP46,OUT049,977.2689
FDB50,OUT019,339.4672
NCQ29,OUT049,2791.9792
FDP16,OUT027,8376.455
FDX33,OUT018,2281.6055
FDP07,OUT010,539.68
FDN22,OUT046,3625.878
FDF39,OUT049,4109.595
FDS21,OUT017,753.0789
NCM42,OUT013,1634.7145
FDK50,OUT019,655.12213
DRF13,OUT027,3817.3792
FDH35,OUT018,2086.354
FDP60,OUT018,1796.857
DRJ49,OUT027,2688.0254
NCT42,OUT019,218.62827
FDE38,OUT049,2726.5706
FDI04,OUT049,3432.3987
NCH54,OUT045,2923.315
FDT56,OUT049,640.6582
DRD15,OUT018,3824.689
FDV58,OUT013,2807.6812
FDP21,OUT049,3779.6433
FDH05,OUT013,4108.6963
FDR10,OUT027,4287.0386
NCP06,OUT045,2404.9358
FDF33,OUT049,1742.6492
DRK37,OUT013,3602.9712
DRH49,OUT045,1182.2487
FDT58,OUT013,2792.8127
FDD41,OUT018,1570.863
FDP40,OUT018,1772.2744
FDM51,OUT027,2694.84
FDO45,OUT010,258.59546
FDW33,OUT010,343.6094
FDY24,OUT045,882.33093
FDB10,OUT010,577.6164
FDM40,OUT035,1522.3495
NCI06,OUT017,3939.2563
FDW12,OUT019,176.87932
FDX48,OUT027,4943.899
NCW05,OUT027,2003.0492
FDX27,OUT017,1398.8582
DRM37,OUT045,3891.9543
FDA38,OUT045,3315.2861
FDR36,OUT046,667.6249
FDZ45,OUT046,3387.6562
FDG05,OUT017,1911.159
FDK28,OUT013,6069.859
FDV47,OUT045,1373.3167
FDN21,OUT045,2087.7554
FDP20,OUT027,2231.5874
FDI35,OUT045,5141.7554
DRY23,OUT013,701.7054
FDA56,OUT017,2193.9893
FDB09,OUT013,2036.7583
NCO26,OUT027,2819.8586
FDQ49,OUT018,3493.1035
FDI52,OUT027,2786.4407
FDZ44,OUT027,3375.9934
FDZ09,OUT018,2982.0964
FDY03,OUT049,1856.4205
NCG42,OUT017,1973.192
DRI13,OUT027,6594.7417
FDQ32,OUT013,2226.3179
FDW16,OUT035,1013.10126
FDU27,OUT046,917.1006
FDR28,OUT010,247.75568
FDQ49,OUT010,442.20978
FDS37,OUT046,1613.3439
FDW26,OUT018,3074.8894
FDX12,OUT018,3115.3884
NCP06,OUT013,2819.2373
FDW45,OUT010,-212.44794
NCN30,OUT049,1183.1984
FDN24,OUT049,984.7984
NCL41,OUT027,1045.6753
FDR02,OUT019,440.02438
FDD09,OUT010,1061.0613
FDS33,OUT010,216.22955
FDU22,OUT045,2149.8843
FDI53,OUT013,1683.6615
DRH01,OUT049,2874.5454
FDX32,OUT013,2433.9565
NCP30,OUT018,697.3833
FDB60,OUT045,2538.0125
FDB14,OUT049,1424.429
NCP02,OUT035,766.18915
FDJ10,OUT017,2054.0579
FDG34,OUT046,1671.9695
NCB18,OUT017,979.34534
FDM16,OUT049,1445.0621
FDW25,OUT018,1462.5752
FDB35,OUT010,111.0832
DRN11,OUT013,1642.9973
FDF41,OUT019,349.27466
FDH16,OUT045,1131.7852
NCQ50,OUT018,3062.9507
DRH23,OUT018,493.52884
DRJ37,OUT013,1753.6089
DRJ24,OUT027,5391.78
FDY16,OUT035,2228.4277
FDQ27,OUT045,2268.1528
FDZ33,OUT045,1818.2373
FDF29,OUT045,2558.5554
FDA08,OUT049,3139.8047
FDG31,OUT046,1124.8325
FDE34,OUT019,561.0137
NCR30,OUT027,2384.3918
FDV33,OUT035,3677.5657
DRZ24,OUT018,2001.1534
NCL54,OUT035,2683.482
FDR12,OUT049,2616.3003
NCC54,OUT046,4524.4966
DRN59,OUT013,652.37537
FDX50,OUT019,356.54993
FDV31,OUT027,5606.2124
NCA29,OUT027,5537.086
FDW60,OUT049,2891.5276
FDX08,OUT017,2893.4
DRD49,OUT013,3505.8464
FDD33,OUT046,2079.6416
FDW35,OUT013,1079.3069
FDJ36,OUT017,1635.3933
FDV51,OUT035,3644.423
FDW36,OUT046,1964.8357
FDH35,OUT046,2278.2456
NCS30,OUT027,2727.5476
FDN49,OUT017,437.39673
FDL08,OUT018,2919.4038
FDI09,OUT013,3565.2205
FDP19,OUT018,1845.0828
FDU21,OUT010,4.426691
NCP41,OUT045,1253.8275
FDY10,OUT013,1916.0511
FDP12,OUT018,438.57416
NCN26,OUT049,1784.9316
FDK44,OUT013,2200.0837
FDC28,OUT049,956.45374
FDJ41,OUT027,6478.194
NCT29,OUT035,2211.2917
NCH42,OUT019,221.20633
FDU60,OUT018,2399.0273
FDS02,OUT045,3778.0303
FDC51,OUT046,2186.0332
FDU03,OUT013,3767.7986
FDX39,OUT045,3490.634
NCY05,OUT010,92.51926
NCL06,OUT027,5654.7627
FDD32,OUT035,1416.8842
NCN41,OUT045,2008.5903
NCX53,OUT049,1923.3455
FDU57,OUT019,261.71188
FDQ23,OUT046,1885.6417
FDQ52,OUT045,5319.7227
FDC14,OUT045,522.6983
FDY09,OUT035,3063.203
FDQ28,OUT045,3105.1733
FDV25,OUT046,5890.8115
FDJ07,OUT035,2182.7646
DRB25,OUT049,1603.3186
FDK52,OUT019,517.7148
FDY52,OUT027,1014.95514
FDB28,OUT046,2676.5203
FDT36,OUT035,623.732
FDV25,OUT017,4422.381
NCN07,OUT027,3598.011
FDC57,OUT017,3494.587
FDQ03,OUT018,3111.247
FDU23,OUT017,3022.6
NCX41,OUT035,3859.7583
NCD06,OUT035,890.44635
FDW08,OUT045,1440.7069
NCU29,OUT017,3063.8767
NCE06,OUT013,2532.7437
FDV52,OUT010,334.56964
FDB02,OUT017,2489.7937
NCR18,OUT045,789.4923
FDK16,OUT049,1540.9136
NCQ29,OUT010,986.2871
FDZ01,OUT019,380.37375
FDW27,OUT035,2418.696
FDD17,OUT018,3651.8103
FDW39,OUT013,3121.52
DRH59,OUT045,1114.5222
FDS52,OUT013,1413.6722
FDU40,OUT027,7489.0815
NCF54,OUT013,1852.6409
FDH46,OUT045,1463.9365
NCP14,OUT049,2220.4595
FDH50,OUT049,3298.834
DRF15,OUT010,562.99243
FDV27,OUT027,1697.9102
NCJ06,OUT049,2064.8096
FDN02,OUT018,3718.804
FDQ51,OUT049,572.2872
FDQ07,OUT017,5423.8174
FDS45,OUT049,2081.12
NCJ06,OUT045,1824.2416
FDD36,OUT035,1820.8774
FDY25,OUT045,3565.2312
FDU52,OUT046,2005.3667
DRK47,OUT017,2675.1792
NCL30,OUT017,2194.1738
FDN22,OUT035,3274.2976
NCF30,OUT027,2873.1177
FDK03,OUT035,6340.2085
FDT45,OUT017,917.8692
NCC54,OUT027,5097.5083
FDP08,OUT018,1967.8043
FDU44,OUT046,2452.2468
DRG39,OUT035,732.7999
FDU32,OUT049,2079.4148
FDY27,OUT049,3587.826
NCP54,OUT013,2107.4072
NCZ41,OUT049,1540.349
DRL49,OUT013,1895.3837
FDI05,OUT018,935.9018
FDY56,OUT045,5363.48
DRC13,OUT013,1702.3824
NCV29,OUT017,3714.19
FDR24,OUT049,1016.7287
FDZ34,OUT018,2786.822
FDP37,OUT035,2024.8052
FDX08,OUT027,5573.601
FDS57,OUT045,1804.6614
NCG18,OUT049,1819.3618
FDK25,OUT018,2354.1094
FDH53,OUT049,895.2747
DRI59,OUT018,4056.904
FDA52,OUT046,2732.823
FDT20,OUT010,208.03122
FDE36,OUT019,426.72998
FDI24,OUT017,3082.9893
FDB28,OUT018,3513.9604
FDV11,OUT017,2430.5203
FDP01,OUT046,1664.3734
FDD34,OUT027,4161.509
FDJ50,OUT027,1591.3025
FDZ44,OUT013,1309.5876
DRO59,OUT035,1292.24
DRB48,OUT045,657.2991
FDR21,OUT018,2667.3267
NCE42,OUT010,518.0606
FDO23,OUT046,1761.8228
NCE30,OUT018,3911.5874
FDQ22,OUT035,681.75415
FDY01,OUT045,1787.352
FDS08,OUT017,1776.6643
FDG28,OUT018,2846.0986
FDQ51,OUT018,683.104
FDB05,OUT017,4628.132
FDO56,OUT049,2170.7913
FDE02,OUT018,1126.26
FDN45,OUT017,5163.9883
FDS09,OUT013,787.55133
NCA54,OUT018,2325.0845
FDP09,OUT010,553.24304
FDC53,OUT045,958.9151
NCM55,OUT017,3466.3538
FDL09,OUT018,2519.0864
FDA11,OUT019,200.70724
FDA50,OUT045,1484.582
FDC23,OUT017,5024.3833
FDE22,OUT049,2246.1875
FDD23,OUT046,4158.148
NCA29,OUT049,3425.419
FDK38,OUT046,2093.5557
DRC13,OUT046,2163.3274
NCP43,OUT049,2182.54
FDX28,OUT049,1490.3613
FDF08,OUT049,1490.7217
FDZ33,OUT046,2517.6616
FDD10,OUT049,1774.7437
FDO58,OUT017,2084.9404
FDI50,OUT017,3271.03
FDO58,OUT045,2552.6208
FDX08,OUT013,3673.866
NCK17,OUT010,71.0143
FDF39,OUT035,6360.1943
FDU45,OUT010,261.69113
NCJ18,OUT018,1444.5935
DRC27,OUT019,842.8887
DRC25,OUT035,1540.2576
FDU59,OUT035,1638.4933
FDU28,OUT035,3403.3213
NCP30,OUT046,887.4774
FDB39,OUT018,967.61505
FDE41,OUT013,1417.0642
DRH11,OUT010,150.04286
FDA58,OUT045,3317.4465
FDU50,OUT046,1552.6022
FDM34,OUT013,2143.1472
FDM44,OUT027,2318.0554
FDR39,OUT045,3052.0054
FDM25,OUT045,2330.1785
FDQ49,OUT049,2050.049
DRH25,OUT018,566.5964
FDM09,OUT027,3984.8757
FDL44,OUT019,704.22644
NCR42,OUT018,363.24158
DRL59,OUT046,864.51825
FDX43,OUT013,2016.8779
DRK47,OUT010,527.159
FDU48,OUT018,1418.9473
FDY12,OUT045,777.0035
NCN43,OUT018,1421.5656
NCM55,OUT018,3592.4705
FDQ21,OUT027,2185.224
FDX13,OUT035,5851.675
NCK30,OUT027,5446.983
FDG20,OUT049,1621.1107
DRG27,OUT017,601.28296
FDY14,OUT018,3275.0625
FDP59,OUT035,1363.0952
FDU60,OUT017,4066.4688
NCC18,OUT019,592.99585
DRJ39,OUT017,4743.5293
FDS07,OUT049,2164.28
FDM08,OUT027,6934.0483
FDP51,OUT045,1595.7614
FDU16,OUT035,1591.6787
FDH12,OUT013,2169.7283
DRE48,OUT010,398.6315
NCL42,OUT027,6691.73
FDR21,OUT045,3068.092
NCW29,OUT035,1716.4193
FDO11,OUT013,5724.2524
NCM31,OUT049,1764.3551
FDV35,OUT019,444.9318
FDF58,OUT017,720.01794
NCE43,OUT049,3319.4448
FDA02,OUT035,1572.6462
DRL37,OUT010,171.18648
FDR24,OUT018,1437.491
FDW59,OUT049,1475.566
FDS22,OUT049,555.3455
FDW24,OUT017,1033.5747
FDU24,OUT035,2082.427
FDA21,OUT027,6007.0024
FDH58,OUT027,3321.6152
FDW36,OUT018,1632.8622
FDI45,OUT027,4215.3594
FDU01,OUT018,3287.5566
FDF35,OUT027,2128.056
FDU43,OUT019,641.3904
FDE24,OUT019,-1.3283609
FDK50,OUT049,3126.4773
