,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2
63,FDY40,12.792854228644284,0.15028599,Frozen Foods,51.0692,OUT019,1985,147.8076,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
64,FDY45,12.792854228644284,0.026015519,Snack Foods,255.8356,OUT027,1985,2543.356,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
65,FDC46,17.7,0.195068226,Snack Foods,185.4266,OUT010,1998,184.4266,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
66,FDH19,19.35,0.033082215,Meat,172.5738,OUT035,2004,4865.6664,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
67,FDZ03,13.65,0.078946455,Dairy,186.024,OUT045,2002,1118.544,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
68,DRH37,17.6,0.041700756,Soft Drinks,164.8526,OUT045,2002,2302.3364,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
69,NCI17,8.645,0.143422643,Health and Hygiene,95.841,OUT046,1997,2027.361,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
70,FDJ58,15.6,0.105296072,Snack Foods,170.1764,OUT046,1997,3435.528,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
71,FDL12,15.85,0.121531501,Baking Goods,59.222,OUT013,1987,599.22,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
72,FDH35,18.25,0.05810121044444445,Starchy Foods,164.7526,OUT045,2002,4604.6728,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
73,FDG02,7.855,0.011324862,Canned,189.6188,OUT017,2007,2285.0256,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
74,NCZ18,7.825,0.186357148,Household,254.3698,OUT049,1999,5580.7356,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
75,FDC29,8.39,0.024205661,Frozen Foods,114.0176,OUT046,1997,2290.352,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
76,FDQ10,12.85,0.033230816,Snack Foods,172.3422,OUT049,1999,1207.0954,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
77,FDN48,12.792854228644284,0.113720344,Baking Goods,89.9804,OUT019,1985,643.1628,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
78,FDL04,19.0,0.112556507,Frozen Foods,104.9622,OUT017,2007,1587.933,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
79,FDV25,5.905,0.04441604033333333,Canned,222.5456,OUT045,2002,5305.0944,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
80,FDD58,7.76,0.059352241,Snack Foods,101.87,OUT046,1997,1697.79,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
81,FDN04,11.8,0.014087057,Frozen Foods,180.3344,OUT046,1997,1427.4752,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
82,FDV45,16.75,0.045230944,Snack Foods,187.9556,OUT018,2009,4693.89,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
83,NCL18,12.792854228644284,0.293417759,Household,194.6136,OUT019,1985,583.2408,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
84,FDR12,12.792854228644284,0.031382044,Baking Goods,171.3764,OUT027,1985,3091.9752,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
85,FDG20,15.5,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
86,FDZ55,6.055,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,2716.464,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
87,FDQ49,12.792854228644284,0.039057677,Breakfast,155.963,OUT027,1985,3285.723,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
88,FDN33,6.305,0.123115764,Snack Foods,95.6436,OUT046,1997,661.8052,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
89,FDN27,20.85,0.039624006,Meat,117.2808,OUT049,1999,1523.3504,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
90,FDW20,20.75,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,369.519,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
91,DRG27,8.895,0.105274111,Dairy,39.9138,OUT049,1999,690.4346,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
92,DRI25,19.6,0.033970195,Soft Drinks,55.1614,OUT045,2002,1381.535,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
93,FDA44,19.7,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,622.523,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
94,NCR17,9.8,0.024378706,Health and Hygiene,114.5492,OUT035,2004,1274.3412,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
95,FDU04,12.792854228644284,0.009714595,Frozen Foods,120.0414,OUT019,1985,487.3656,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
96,FDF41,12.15,0.131383762,Frozen Foods,246.046,OUT049,1999,1231.73,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
97,FDB56,8.75,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
98,NCP18,12.792854228644284,0.028459761,Household,149.9708,OUT027,1985,4363.6532,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
99,FDB56,8.75,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
100,FDT28,13.3,0.063695084,Frozen Foods,151.0708,OUT045,2002,1805.6496,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
101,FDD10,12.792854228644284,0.045797829,Snack Foods,178.5344,OUT027,1985,2854.9504,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
102,FDW57,8.31,0.115857223,Snack Foods,179.1028,OUT049,1999,3896.2616,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
103,DRB48,16.75,0.024832806,Soft Drinks,38.7822,OUT013,1987,667.7974,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
104,FDP09,19.75,0.034027909,Snack Foods,212.0902,OUT018,2009,3185.853,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
105,FDH14,17.1,0.0467696,Canned,141.1838,OUT013,1987,2247.7408,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
106,FDA47,10.5,0.116576702,Baking Goods,163.121,OUT013,1987,1794.331,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
107,FDG12,6.635,0.004924115333333334,Baking Goods,121.3098,OUT045,2002,2530.7058,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
108,DRE60,12.792854228644284,0.278974075,Soft Drinks,225.372,OUT019,1985,679.116,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
109,DRK49,14.15,0.035913805,Soft Drinks,41.4138,OUT013,1987,812.276,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
110,FDD03,13.3,0.079806266,Dairy,232.53,OUT046,1997,699.09,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
111,FDS52,8.89,0.005505481,Frozen Foods,102.4016,OUT017,2007,2732.4432,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
112,FDW39,12.792854228644284,0.064625342,Meat,176.937,OUT019,1985,176.437,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
113,FDX34,12.792854228644284,0.071636937,Snack Foods,121.7098,OUT027,1985,4097.3332,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
114,FDV11,9.1,0.078393078375,Breads,173.2054,OUT045,2002,3151.8972,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
115,FDD17,7.5,0.032677678,Frozen Foods,239.0906,OUT049,1999,5942.265,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
116,FDZ16,16.85,0.160760054,Frozen Foods,192.4478,OUT017,2007,4843.695,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
117,FDZ46,7.485,0.06911065,Snack Foods,109.0228,OUT035,2004,2542.0244,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
118,DRA12,11.6,0.041177505,Soft Drinks,140.3154,OUT017,2007,2552.6772,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
119,FDY58,11.65,0.040081193,Snack Foods,227.0694,OUT018,2009,1141.847,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
120,NCF19,13.0,0.035307322,Household,47.5034,OUT017,2007,680.4476,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
121,DRJ13,12.65,0.063017847,Soft Drinks,159.0578,OUT045,2002,2085.9514,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
122,FDB14,20.25,0.171938781,Canned,92.512,OUT010,1998,186.424,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
123,FDJ38,8.6,0.040197932,Canned,190.153,OUT035,2004,3036.048,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
124,FDW11,12.6,0.049058014,Breads,62.7194,OUT017,2007,866.8716,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
125,FDL40,17.7,0.01161096,Frozen Foods,95.041,OUT035,2004,868.869,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
126,DRI49,14.15,0.183507295,Soft Drinks,82.4276,OUT046,1997,1137.1864,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
127,FDV38,19.25,0.102349519,Dairy,52.7956,OUT017,2007,928.1252,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
128,DRG23,8.88,0.086708987,Hard Drinks,151.7682,OUT013,1987,762.341,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
129,NCP30,20.5,0.032835147,Household,40.2822,OUT045,2002,707.0796,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
130,FDY25,12.792854228644284,0.033809913,Canned,180.5976,OUT027,1985,7968.2944,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
131,NCH54,13.5,0.07266912,Household,160.292,OUT046,1997,1438.128,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
132,NCR53,12.792854228644284,0.144338493,Health and Hygiene,224.4404,OUT027,1985,6976.2524,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
133,FDS52,8.89,0.009163216,Frozen Foods,101.7016,OUT010,1998,101.2016,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
134,FDG02,7.855,0.011307038,Canned,188.5188,OUT018,2009,952.094,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
135,NCO26,7.235,0.076855628,Household,116.0492,OUT046,1997,1969.4364,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
136,FDH35,12.792854228644284,0.059956876,Starchy Foods,165.4526,OUT027,1985,5262.4832,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
137,FDB51,6.92,0.038532062,Dairy,60.5852,OUT045,2002,1314.2892,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
138,FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
139,NCN07,18.5,0.056816465,Others,132.1284,OUT010,1998,263.6568,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
140,NCC31,8.02,0.019866705,Household,154.5972,OUT035,2004,1402.1748,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
141,NCX54,9.195,0.048331717,Household,105.1622,OUT017,2007,1693.7952,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
142,NCO55,12.8,0.091221855,Others,105.5938,OUT045,2002,2143.876,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
143,NCC30,16.6,0.027622076,Household,177.6344,OUT049,1999,2676.516,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
144,FDI16,14.0,0.14164533829999998,Frozen Foods,53.064,OUT035,2004,905.488,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
145,FDP16,18.6,0.039355947,Frozen Foods,246.3802,OUT049,1999,7370.406,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
146,FDB11,16.0,0.060836524,Starchy Foods,226.8404,OUT035,2004,6301.1312,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
147,NCB06,17.6,0.082316506,Health and Hygiene,160.692,OUT035,2004,1597.92,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
148,FDA45,21.25,0.155350299,Snack Foods,178.237,OUT035,2004,529.311,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
149,NCO26,7.235,0.076841095,Household,117.5492,OUT035,2004,1969.4364,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
150,DRJ25,14.6,0.151419185,Soft Drinks,50.3692,OUT017,2007,1034.6532,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
151,FDR28,13.85,0.026001976,Frozen Foods,161.521,OUT018,2009,1794.331,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
152,FDI04,13.65,0.073209447,Frozen Foods,197.6426,OUT018,2009,2768.3964,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
153,DRK12,12.792854228644284,0.041683481,Soft Drinks,31.29,OUT027,1985,898.83,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
154,FDX20,7.365,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,3169.208,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
155,NCI18,18.35,0.014081156,Household,223.5746,OUT018,2009,3589.9936,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
156,FDB36,5.465,0.030340533875,Baking Goods,132.5626,OUT018,2009,262.3252,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
157,FDN13,18.6,0.152918384,Breakfast,99.8358,OUT017,2007,1910.1802,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
158,DRD24,13.85,0.030969274,Soft Drinks,140.9154,OUT017,2007,1701.7848,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
159,FDQ28,14.0,0.060376776,Frozen Foods,154.5656,OUT013,1987,2471.4496,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
160,FDM22,14.0,0.04192285,Snack Foods,54.764,OUT013,1987,1331.6,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
161,FDR07,12.792854228644284,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,1808.9786,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
162,FDV25,5.905,0.045838211,Canned,222.5456,OUT018,2009,3315.684,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
163,DRF49,7.27,0.071077939,Soft Drinks,114.2518,OUT046,1997,2618.5914,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
164,FDW51,6.155,0.094659871,Meat,214.556,OUT046,1997,2769.728,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
165,DRL01,19.5,0.077608838,Soft Drinks,233.4958,OUT017,2007,5375.0034,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
166,FDP25,15.2,0.021327477,Canned,216.8824,OUT017,2007,2838.9712,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
167,FDL50,12.15,0.042485444,Canned,125.0046,OUT018,2009,1743.0644,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
168,NCB30,12.792854228644284,0.025578526,Household,198.8084,OUT027,1985,5555.4352,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
169,FDW11,12.6,0.0489808,Breads,61.9194,OUT018,2009,619.194,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
170,NCM43,14.5,0.019471688,Others,164.821,OUT035,2004,2120.573,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
171,FDK44,16.6,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,3823.0236,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
172,FDM15,11.8,0.057373797,Meat,151.4366,OUT013,1987,1360.2294,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
173,FDS31,13.1,0.044155597,Fruits and Vegetables,178.8318,OUT013,1987,3969.4996,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
174,FDI32,17.7,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,345.5502,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
175,FDR47,17.85,0.08535471260000001,Breads,196.5794,OUT010,1998,585.2382,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
176,FDB35,12.3,0.064750025,Starchy Foods,92.6804,OUT045,2002,1010.6844,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
177,NCU05,11.8,0.098312421,Health and Hygiene,81.4618,OUT010,1998,161.1236,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
178,DRY23,12.792854228644284,0.191013663,Soft Drinks,42.1112,OUT019,1985,42.6112,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
179,FDO24,11.1,0.176573035,Baking Goods,157.4604,OUT045,2002,3010.7476,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
180,FDQ28,12.792854228644284,0.060134441,Frozen Foods,153.0656,OUT027,1985,6024.1584,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
181,FDV39,11.3,0.007294652,Meat,198.1426,OUT045,2002,988.713,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
182,NCO17,12.792854228644284,0.128478462,Health and Hygiene,117.944,OUT019,1985,239.688,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
183,FDU50,5.75,0.075107656,Dairy,112.8176,OUT013,1987,1374.2112,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
184,FDT12,12.792854228644284,0.049381406,Baking Goods,226.8062,OUT027,1985,4739.8302,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
